RECORD ID NUMBER,INPUT ADDRESS,TIGER ADDRESS RANGE MATCH INDICATOR,TIGER MATCH TYPE,TIGER OUTPUT ADDRESS,INTERPOLATED LONGITUDE AND LATITUDE,TIGERLINE ID,STATE CODE,COUNTY CODE,TRACT CODE
1185516,"1845 Palm Beach Lakes Blvd, West Palm Beach, FL, ",Match,Exact,"1845 PALM BEACH LAKES BLVD, WEST PALM BEACH, FL, 33401","-80.087944505093,26.720884513234",115563437,12,099,001802
1560364,"1601 N State Road 7, Lauderhill, FL, ",No_Match,,,,,,,
998835,"2515 W Sample Rd, Pompano Beach, FL, ",Match,Exact,"2515 W SAMPLE RD, POMPANO BEACH, FL, 33073","-80.157115777492,26.274535227331",647891613,12,011,010405
609907,"1625 Cordova Rd, Ft Lauderdale, FL, ",Match,Exact,"1625 CORDOVA RD, FT LAUDERDALE, FL, 33316","-80.130808565433,26.101574761827",114728337,12,011,042301
354653,"3011 N FEDERAL HWY, BOYNTON BEACH, FL, ",Match,Non_Exact,"3011 S FEDERAL HWY, BOYNTON BEACH, FL, 33435","-80.060231480033,26.502072401527",633568871,12,099,006301
1615166,"7465 NW 7th Ave, Miami, FL, ",Match,Exact,"7465 NW 7TH AVE, MIAMI, FL, 33150","-80.208913662311,25.843085903589",116004726,12,086,001004
1168187,"855 S Federal Hwy, Boca Raton, FL, ",Match,Exact,"855 S FEDERAL HWY, BOCA RATON, FL, 33432","-80.086319505018,26.342288703075",115303373,12,099,007505
1208727,"101 NW Avenue L, Belle Glade, FL, ",Match,Exact,"101 NW AVE L, BELLE GLADE, FL, 33430","-80.668937607138,26.696820249375",115312190,12,099,008101
1153918,"600 W Sample Rd, Pompano Beach, FL, ",Match,Exact,"600 W SAMPLE RD, POMPANO BEACH, FL, 33064","-80.13154066798,26.274792230088",637064705,12,011,030301
663423,"2301 W 52nd St, Hialeah, FL, ",Match,Exact,"2301 W 52ND ST, HIALEAH, FL, 33016","-80.329272345295,25.869886587896",639861506,12,086,013600
1254628,"13911 S Dixie Hwy, Miami, FL, ",Match,Exact,"13911 S DIXIE HWY, MIAMI, FL, 33176","-80.33544449633,25.640867302761",116280991,12,086,008206
1345995,"2718 W Oakland Park Blvd, Oakland Park, FL, ",Match,Exact,"2718 W OAKLAND PARK BLVD, OAKLAND PARK, FL, 33311","-80.17964422728,26.165288619798",637124684,12,011,050800
1126305,"2508 Davie Blvd, Fort Lauderdale, FL, ",Match,Exact,"2508 DAVIE BLVD, FORT LAUDERDALE, FL, 33312","-80.175607384663,26.106441085713",114726617,12,011,043100
1547381,"2505 N Dixie Hwy, Lake Worth Beach, FL, ",Match,Exact,"2505 N DIXIE HWY, LAKE WORTH BEACH, FL, 33460","-80.056453739841,26.643602452588",115281122,12,099,005204
1242643,"1351 N University Dr, Coral Springs, FL, ",Match,Exact,"1351 N UNIVERSITY DR, CORAL SPRINGS, FL, 33071","-80.253057750821,26.247135667232",648164819,12,011,020316
1002954,"200 S State Road 7, Hollywood, FL, ",Tie,,,,,,,
625148,"10780 NW 58th St, Doral, FL, ",Match,Exact,"10780 NW 58TH ST, DORAL, FL, 33178","-80.368066379512,25.826246962876",648148242,12,086,009057
226328,"5555 N University Dr, Lauderhill, FL, ",No_Match,,,,,,,
1035884,"1959 S State Rd 7, West Park, FL, ",Match,Exact,"1959 S STATE HWY 7, WEST PARK, FL, 33023","-80.206868791565,25.993867835939",639373661,12,011,100700
1389587,"7025 Southern Blvd, West Palm Beach, FL, ",Match,Exact,"7025 SOUTHERN BLVD, WEST PALM BEACH, FL, 33413","-80.158203707363,26.679243505814",641551109,12,099,003201
1333987,"8502 NW 44th St, Sunrise, FL, ",Match,Exact,"8502 NW 44TH ST, SUNRISE, FL, 33351","-80.265375942661,26.179056916988",114702361,12,011,060117
923298,"230 US Highway 1, North Palm Beach, FL, ",Tie,,,,,,,
1264887,"24785 SW 112th Ave, Princeton, FL, ",Match,Exact,"24785 SW 112TH AVE, PRINCETON, FL, 33032","-80.371989911731,25.53793034493",640559625,12,086,010621
1618218,"777 W Executive Center Dr, West Palm Beach, FL, ",No_Match,,,,,,,
392912,"1045 Dade Blvd, Miami Beach, FL, ",Match,Exact,"1045 DADE BLVD, MIAMI BEACH, FL, 33139","-80.139788320973,25.794279607938",116020298,12,086,004106
1274252,"2180 Nw 13th Ave, Miami, FL, ",Match,Exact,"2180 NW 13TH AVE, MIAMI, FL, 33142","-80.217342094343,25.797326764739",116015841,12,086,002900
1552763,"5600 Washington St, Hollywood, FL, ",Match,Exact,"5600 WASHINGTON ST, HOLLYWOOD, FL, 33023","-80.199174339302,26.002567668795",114732195,12,011,091400
476267,"6700 Collins Ave, Miami Beach, FL, ",Match,Exact,"6700 COLLINS AVE, MIAMI BEACH, FL, 33141","-80.120388994816,25.850661215707",651226115,12,086,003914
426808,"18201 NW 7th Ave, Miami, FL, ",Match,Exact,"18201 NW 7TH AVE, MIAMI, FL, 33169","-80.213079287678,25.940943474378",116029764,12,086,009506
434442,"498 E 25th St, Hialeah, FL, ",Match,Non_Exact,"498 W 25TH ST, HIALEAH, FL, 33010","-80.290783125888,25.84432000215",115958362,12,086,000711
1182478,"6621 Taft St, Hollywood, FL, ",Match,Exact,"6621 TAFT ST, HOLLYWOOD, FL, 33024","-80.221085815023,26.024630475666",114715985,12,011,090700
1615197,"446 W Hillsboro Blvd, Deerfield Beach, FL, ",Match,Exact,"446 W HILLSBORO BLVD, DEERFIELD BEACH, FL, 33441","-80.109808671146,26.318309382025",637051090,12,011,010305
1148584,"6400 Lake Worth Rd, Greenacres, FL, ",Match,Exact,"6400 LAKE WORTH RD, GREENACRES, FL, 33463","-80.144058103576,26.619237803622",652250241,12,099,004819
1573690,"13659 SW 26th St, Miami, FL, ",Match,Exact,"13659 SW 26TH ST, MIAMI, FL, 33175","-80.41581659127,25.74363316768",629017012,12,086,014900
1551444,"10160 W Oakland Park Blvd, Sunrise, FL, ",Match,Exact,"10160 W OAKLAND PARK BLVD, SUNRISE, FL, 33351","-80.287437001782,26.169902867343",638979012,12,011,060115
1527767,"2584 N State Road 7, Lauderdale Lakes, FL, ",Match,Non_Exact,"2584 STATE HWY 7, LAUDERDALE LAKES, FL, 33313","-80.202846428996,26.158620598278",636820505,12,011,050313
1376261,"14801 Bethune Dr., Miami, FL, ",Match,Exact,"14801 BETHUNE DR, MIAMI, FL, 33176","-80.380370208088,25.630852408404",115981648,12,086,008312
1104964,"3031 Johnson St, Hollywood, FL, ",Match,Exact,"3031 JOHNSON ST, HOLLYWOOD, FL, 33021","-80.1687198009,26.018458546833",114729399,12,011,090900
1126334,"10651 Southern Blvd, Royal Palm Beach, FL, ",Match,Exact,"10651 SOUTHERN BLVD, ROYAL PALM BEACH, FL, 33411","-80.212829902391,26.680903546115",641551454,12,099,007813
1437743,"5945 W 25th Ct, Hialeah, FL, ",Match,Exact,"5945 W 25TH CT, HIALEAH, FL, 33016","-80.334279283269,25.876479207941",116060451,12,086,013802
935270,"5600 W Sample Rd, Margate, FL, ",Match,Exact,"5600 W SAMPLE RD, MARGATE, FL, 33073","-80.198757941009,26.273984505657",639377416,12,011,020101
1136549,"4001 S Dixie Hwy, West Palm Beach, FL, ",Match,Exact,"4001 S DIXIE HWY, WEST PALM BEACH, FL, 33405","-80.054800456131,26.675658787458",115279585,12,099,003400
1063916,"680 E Main St, Pahokee, FL, ",Match,Exact,"680 E MAIN ST, PAHOKEE, FL, 33476","-80.659631314176,26.827178275675",115240108,12,099,008002
1657834,"2720 Hammondville Rd, Pompano Beach, FL, ",Match,Exact,"2720 HAMMONDVILLE RD, POMPANO BEACH, FL, 33069","-80.160010264999,26.245264796508",114693744,12,011,030602
1009558,"3101 SW 107th Ave, Miami, FL, ",Match,Exact,"3101 SW 107TH AVE, MIAMI, FL, 33165","-80.367664754304,25.740361859548",115971786,12,086,008807
536480,"4191 N State Road 7, Hollywood, FL, ",No_Match,,,,,,,
